Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,start,,POINT,10.920,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,546,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,START,12.080,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,605,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,STOP,13.140,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,657,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,START,16.260,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,813,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,STOP,17.980,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,899,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,START,18.480,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,924,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,STOP,20.020,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1001,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right,,POINT,20.980,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1049,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,START,22.340,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1118,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right,,POINT,22.600,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1130,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right-hold,,START,23.220,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1161,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right-hold,,STOP,25.120,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1256,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,FR,,STOP,25.420,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1271,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right,,POINT,25.880,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1294,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right,,POINT,26.320,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1316,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right-hold,,START,26.660,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1333,NA,
1F1-2B-COLD,2026-07-14 16:45:05.036,,119.600,Media file(s),player #1:Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,0.0,146.580,50.000,,HPW-right,,POINT,27.740,Y:/Experiments/2026/Rat/2026-ZA-KNXforChronicPain/Screening/101/Cohort2/PreTx/1F1-2B-COLD-a.mp4,1387,NA,
